x,y
8.34,480.48
23.64,445.75
29.74,438.76
19.07,453.09
11.8,464.43
13.97,470.96
22.1,442.35
14.47,464.0
31.25,428.77
6.77,484.31
28.28,435.29
22.99,451.41
29.3,426.25
8.14,480.66
16.92,460.17
22.72,453.13
18.14,461.71
11.49,471.08
9.94,473.74
23.54,448.56
14.9,464.82
33.8,427.28
25.37,441.76
7.29,474.71
13.55,467.21
6.39,487.69
26.64,438.67
7.84,485.66
21.82,452.16
27.17,429.87
13.42,468.82
20.77,442.85
8.29,483.26
30.98,433.59
31.96,433.04
15.83,458.6
22.56,435.14
25.91,443.2
8.24,477.9
24.66,445.26
29.31,435.57
21.48,447.42
18.28,462.28
26.96,441.81
16.01,454.16
27.37,437.24
16.3,464.11
23.8,440.89
8.19,485.2
25.28,445.34
21.47,440.0
30.54,431.35
18.3,456.32
25.82,432.98
31.12,429.41
15.99,464.95
8.42,481.91
23.7,437.15
15.71,462.6
29.11,432.43
23.73,442.22
28.26,441.03
15.92,468.91
33.4,432.46
31.92,430.07
26.87,437.78
5.23,483.12
15.72,462.19
17.74,457.71
27.13,438.32
25.82,434.35
34.2,427.05
19.13,448.69
11.77,475.88
10.25,479.28
23.82,446.85
30.1,434.99
29.92,441.5
29.63,433.26
30.61,430.46
16.18,455.14
31.66,431.26
29.14,437.76
18.4,464.63
15.86,462.58
6.31,483.27
23.4,438.51
33.62,431.03
6.89,484.0
27.41,431.64
26.37,451.78
26.58,439.46
15.25,467.23
21.24,459.81
24.98,447.15
26.63,442.0
18.87,449.61
5.12,481.28
31.1,437.54
